id,Attributes,Name,Slug,Quantity-50,Quantity-100,Quantity-250,Quantity-500,Quantity-1000,Quantity-2500,Quantity5000,"ocm-tlc-1 GB-50","ocm-tlc-1 GB-100","ocm-tlc-1 GB-250","ocm-tlc-1 GB-500","ocm-tlc-1 GB-1000","ocm-tlc-1 GB-2500","ocm-tlc-1 GB-5000","ocm-tlc-2 GB-50","ocm-tlc-2 GB-100","ocm-tlc-2 GB-250","ocm-tlc-2 GB-500","ocm-tlc-2 GB-1000","ocm-tlc-2 GB-2500","ocm-tlc-2 GB-5000",ocm-tlc--50,ocm-tlc--100,ocm-tlc--250,ocm-tlc--500,ocm-tlc--1000,ocm-tlc--2500,ocm-tlc--5000,"ocm-mlc-1 GB-50","ocm-mlc-1 GB-100","ocm-mlc-1 GB-250","ocm-mlc-1 GB-500","ocm-mlc-1 GB-1000","ocm-mlc-1 GB-2500","ocm-mlc-1 GB-5000","ocm-mlc-2 GB-50","ocm-mlc-2 GB-100","ocm-mlc-2 GB-250","ocm-mlc-2 GB-500","ocm-mlc-2 GB-1000","ocm-mlc-2 GB-2500","ocm-mlc-2 GB-5000",ocm-mlc--50,ocm-mlc--100,ocm-mlc--250,ocm-mlc--500,ocm-mlc--1000,ocm-mlc--2500,ocm-mlc--5000,"original-1 GB-50","original-1 GB-100","original-1 GB-250","original-1 GB-500","original-1 GB-1000","original-1 GB-2500","original-1 GB-5000","original-2 GB-50","original-2 GB-100","original-2 GB-250","original-2 GB-500","original-2 GB-1000","original-2 GB-2500","original-2 GB-5000",original--50,original--100,original--250,original--500,original--1000,original--2500,original--5000
0,accessories,"3 in 1 Cable Short (11545)",11545,,10,9.50,9,9,9,8.50
1,accessories,"Ballchain (552)",552,1,1,1,1,1,1,1
2,accessories,"Carbine Hook (550)",550,1,1,1,1,1,1,1
3,accessories,"Express cost (651-x)",651-x,,10,8,6.50,6,0,0
4,accessories,"Gift Box Magnet",gbm,22,22,22,22,22,22,22
5,accessories,Grillfolder,01,,23,13,9,,,
6,accessories,"Lanyard 10x900mm (650)",650,,4.50,4,4,4,4,4
7,accessories,"Lanyard 15x900mm (651)",651,,5,4.50,4.50,4.50,4.50,4.50
8,accessories,"Leather Pouch (458)",458,,2.50,2.50,2.50,2.50,2.50,2.50
9,accessories,"Mobile String (551)",551,,0.50,0.50,0.50,0.50,0.50,0.50
10,accessories,"Own Design Papercard (13598)",13598,,10,4,3,1.50,1,0.50
11,accessories,"Own Design Papercard (770)",770,,15.50,6,3,1.50,1.50,1
12,accessories,"Own design papercard for sets",11000,,,,6,4.50,2.50,2
13,accessories,"Own Pantone (401)",401,0,0,0,0,0,0,0
14,accessories,"Rubber Coating (216-17)",216-17,,,,,7,7,7
15,accessories,"Shiny Coating (217-17)",217-17,,7,7,7,7,7,7
16,accessories,"Tool Cost (909)",909,,10,0,0,0,0,0
17,accessories,"White Housing (311)",311,,6,6,6,6,6,5
0,color,Black,black,,,,,,,
1,color,Blue,blue,,,,,,,
2,color,Green,green,,,,,,,
3,color,Red,red,,,,,,,
4,color,White,white,,,,,,,
5,color,Yellow,yellow,,,,,,,
0,margin,margin1,margin1,100,200,300,400,500,600,700,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
0,own-design,"Own design",own-design,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
