Id,Name,SKU,content,"Short Description",sku,category,"Gallery Image","Product Image",Download,Image,print-position-1,color,kop-fran,tariff-stat-nr,standardfarg,tryckyta,logo,material,vikt,dimensioner,certifikat,"price option 50","price option 100","price option 250","price option 500","price option 1000","price option 2500","price option 5000",order-from,tariff-stat-no,print-surface,weight,dimensions,certificate,capacity,kapacitet,packaging,other,ovrigt,buy-from,standard-colour,imprint-surface,dimension,certificat,version,print-position-2,accessories,dimensionsr,print-area,dimensiones,colour,solar-charger,input,output,solar-laddning,printing-surface,tariff-statno,print-position-3,own-design,farg,sizes
0,"Blue TWS ECO Bass Power",5350-00.001,,"Smidiga trådlösa hörlurar med ett batteri på 200mAh och 30mAh per hörlur. Genom enkel beröring kan du på ett smidigt sätt hantera din musik eller svara på samtal utan att använda telefonen. Hörlurarna har en användningstid på runt 3-4 timmar på endast en laddning. Dessa hörlurar är ett bra val för att njuta av musik och mycket mer oavsett var du befinner dig",5350-00.001,Electronics,"https://elvirainfotech.live/usb/wp-content/uploads/2023/04/5350-00.001-4-scaled.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2023/04/5350-00.001_Front-3-scaled.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2023/04/5350-00.001_1-3-scaled.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2023/04/5350-00.001-4-scaled.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/04/5350-00.00-Pics.zip"">5350-00.00-Pics</a>",,715-sv,"black-2,blue-2,green-2,red-2,yellow-2",50st,"85183000 900",Svart,30x15,Screen,ABS,30g,55x47x29mm,"Rohs, EMC",100,250,,,2500,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,"Blue TWS ECO Bass Power",5350-00.001,,"Wireless headphones with a 200mAh battery and 30mAh per earbud deliver an exceptional audio experience without compromising battery life. Featuring touch-based voice control, you can effortlessly manage your music playback or answer calls hands-free. These headphones combine practicality and innovation to offer a seamless and wireless listening experience. With fast charging capability and long-lasting usage, these headphones are perfect for enjoying music, podcasts, and more, wherever you go.",5350-00.001,"Electronics,Touch","https://elvirainfotech.live/usb/wp-content/uploads/2023/04/5350-00.001-4-scaled.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2023/04/5350-00.001_Front-3-scaled.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2023/04/5350-00.001_1-3-scaled.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2023/04/5350-00.001-4-scaled.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/04/5350-00.00-Pics.zip"">5350-00.00-Pics</a>",,715,Black,-,-,-,-,Screen,ABS,-,-,-,100,250,99,93,88,85,81,50pcs,"85183000 900",30x15,30g,55x47x29mm,"Rohs,EMC",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,"LED MegaBeam WorkLight Maxi COB",605-00.012,,"Large aluminum work light with Eco-Watt LED headlight and COB work light. COB technology, protected against splashing water and over voltage protected.",605-00.012,"Accessories,News",,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/605-00.012_LED-Megabeam-WorklightMaxiCOB_1.jpg,,,725,Titan,-,-,-,-,Laserengraving,Aluminium,-,-,-,99,69,64,59,57,55,53,"100 pcs",85131000000,60x10mm,83g,172x20x20mm,"Rohs, EMC","3 AAA batteries",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,"LED MegaBeam WorkLight Maxi COB",605-00.012,,"Stor arbetslampa i aluminium med Eco-Watt LED-strålkastare och COB-arbetslampa. COB-teknik, vattensäker och inbyggt överspänningsskydd.",605-00.012,"Nyheter,Övrigt",,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/605-00.012_LED-Megabeam-WorklightMaxiCOB_1.jpg,,,725-sv,-,"100 st",85131000000,Titan,60x10mm,Lasergravyr,Aluminium,83g,172x20x20mm,"Rohs, EMC",99,69,64,59,57,55,53,-,-,-,-,-,-,-,"3 AAA Batterier",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,"LED Megabeam Light Tech Pen (warm white light)",883-00.W08,,"Lightweight flashlight with a focused LED and warm white light that ensures true color representation. Also for medical diagnostic purposes.",883-00.W08,"Accessories,News",,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/883-00.W08_LED-Megabeam-Light-TechPen-Silver-WarmWhite_1.jpg,,,725,Silver,-,-,-,-,"Laser engraving",Metal,-,-,-,72,39,36,34,32,30,29,"XXX pcs",85131000000,30x6mm,83g,111x14x14mm,"Rohs, EMC","1AAA battery",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,"LED Megabeam Light Tech Pen (warm white light)",883-00.W08,,"Lätt ficklampa med fokuserad LED och varmvitt ljus som säkerställer sann färgrepresentation. Även för medicinska diagnostiska ändamål.",883-00.W08,"Nyheter,Övrigt",,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/883-00.W08_LED-Megabeam-Light-TechPen-Silver-WarmWhite_1.jpg,,,725-sv,-,"100 st",85131000000,Silver,30x6mm,Lasergravyr,Metall,83g,111x14x14mm,"Rohs,EMC",72,39,36,34,32,30,29,-,-,-,-,-,-,-,"1AAA batteri",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,"LED MegaBeam WorkLight Midi COB",610-00.012,,"Medium-sized aluminum work light with Eco-Watt LED headlight and COB work light. Built in magnetic base and with COB technology, protected against splashing water and over voltage.",610-00.012,"Accessories,News","https://elvirainfotech.live/usb/wp-content/uploads/2022/12/spr-610-00-012_metmaxx_led_megabeam_worklight_worklightmidicob_titan_2.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/spr-610-00-012_metmaxx_led_megabeam_worklight_worklightmidicob_titan_1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/610-00.012_front.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2022/12/spr-610-00-012_metmaxx_led_megabeam_worklight_worklightmidicob_titan_1.jpg,,,725,Titan,-,-,-,-,"Laser engraving",Aluminium,-,-,-,96,69,65,59,57,54,52,"100 pcs",85131000000,40x8mm,33g,126x16x16mm,"Rohs,EMC",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,"LED MegaBeam WorkLight Midi COB",610-00.012,,"Mellanstor arbetslampa i aluminium med Eco-Watt LED-strålkastare och COB-arbetslampa. Inbyggd magnetisk bas och med COB-teknik, skyddad mot vattenstänk och överspänning.",610-00.012,"Nyheter,Övrigt","https://elvirainfotech.live/usb/wp-content/uploads/2022/12/spr-610-00-012_metmaxx_led_megabeam_worklight_worklightmidicob_titan_2.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/spr-610-00-012_metmaxx_led_megabeam_worklight_worklightmidicob_titan_1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/610-00.012_front.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2022/12/spr-610-00-012_metmaxx_led_megabeam_worklight_worklightmidicob_titan_1.jpg,,,725-sv,-,"100 st",85131000000,Titan,40x8mm,Lasergravyr,Aluminium,33g,126x16x16mm,"Rohs,EMC",96,69,65,59,57,54,52,-,-,-,-,-,-,-,"1AAA batteri",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,"PD Fast charging wall adapter Set  20W +3A cable",16630,,"The charger SET of the future with USB C PD charging and QC 3.0 fast charging is here. The 2in1 cable gives a power of over 20W output. USB-C PD charging is a fast-charging feature that charges your iPhone 8 or newer mobile phones extremely fast. Charge of as much as 50 percent in 30 minutes for a mobile phone and an iPad Pro to 50 percent in 60 minutes. This is when connected to the  USB-C to Lightning cable that is included in this gift set. With the right wall contact as our PD Fast Charging wall adapter together with the right USB Type C cable, you have a wall contact that is guaranteed to solve your power problems quickly. The charging time varies depending on environmental factors. The connector is TUV-approved, guarantees a safe product that is approved in the EU. Delivered<span class=""Y2IQFc"" lang=""en""> in a nice black box.</span>",16630,"Chargers/Cables,News","https://elvirainfotech.live/usb/wp-content/uploads/2022/12/16630-PD-plug-and-cable-in-BLACK_3.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2023/01/16630_PD-Fast-charging-Set-cable-white_9.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2023/01/4.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2023/01/8.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2023/01/16.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2023/01/19.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2023/01/27.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/16630-PD-plug-and-cable-in-BLACK_1.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2022/12/16630-PD-plug-and-cable-in-BLACK_1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/01/16630_PD-Fast-charging-Set-cable-PIC.zip"" target=""_blank"" rel=""noopener"">16630_PD Fast charging Set cable PIC</a>

<a href=""https://www.usb.nu/wp-content/uploads/2023/01/16630_14110_PD-Fast-Charging-wall-adapter-SET_SIM-1.pdf"" target=""_blank"" rel=""noopener"">16630_14110_PD Fast Charging wall adapter SET_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2023/01/14110-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">14110 Declaration of Conformity</a>",,"715,203-11m,211-11-3m,211-11-4m,214-14m","Black or white product",-,-,-,-,Screen,ABS,-,-,-,139,128,116,109,104,99,89,"100 pcs",8507600065,25x25mm,100g,"104x72x38mm (black box)","Rohs,EMC and TUV",20W,-,735,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,"PD Fast charging wall adapter Set  20W +3A cable",16630,,"Framtidens laddset med USB C PD charging och QC 3,0 fast charge är här. Denna 2i1 laddkablen ger en output på över 20W. USB-C PD laddning är en snabb laddningsfunktion som laddar din iPad eller från iPhone 8 eller nyare extremt snabbt. Laddning om hela 50 procent på 30 minuter för en mobiltelefon och en iPad Pro till 50 procent på 60 minuter. Detta när den är ihopkopplad med den tillhörande USB-C till Lightning-kabel.  Med rätt väggkontakt som vår PD Fast Charging wall adapter tillsammans med vår sladd USB Type C så har du en väggkontakt som garanterat löser dina strömproblem snabbt. Laddningstiden varierar beroende på miljöfaktorer. Kontakten är TUV approved vilket garanterar en säker produkt som är gdk i EU. Kommer i fin svart ask.",16630,"Laddare/Sladdar,Nyheter","https://elvirainfotech.live/usb/wp-content/uploads/2022/12/16630-PD-plug-and-cable-in-BLACK_3.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2023/01/16630_PD-Fast-charging-Set-cable-white_9.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2023/01/4.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2023/01/8.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2023/01/16.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2023/01/19.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2023/01/27.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2022/12/16630-PD-plug-and-cable-in-BLACK_1.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2022/12/16630-PD-plug-and-cable-in-BLACK_1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/01/16630_PD-Fast-charging-Set-cable-PIC.zip"" target=""_blank"" rel=""noopener"">16630_PD Fast charging Set cable PIC</a>

<a href=""https://www.usb.nu/wp-content/uploads/2023/01/16630_14110_PD-Fast-Charging-wall-adapter-SET_SIM-1.pdf"" target=""_blank"" rel=""noopener"">16630_14110_PD Fast Charging wall adapter SET_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2023/01/14110-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">14110 Declaration of Conformity</a>",,"715-sv,203-11m-sv,211-11-3m-sv,211-11-4m-sv,214-14m-sv",-,"100 st",85076000065,"Svart eller vit produkt",25x25mm,Screen,ABS,100g,"104x74x38mm (svart box)","Rohs,EMC,TUV",139,128,116,109,104,99,89,-,-,-,-,-,-,-,20W,735-sv,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
