Id,Name,SKU,content,"Short Description",sku,category,"Gallery Image","Product Image",Download,Image,print-position-1,kop-fran,tariff-stat-nr,standardfarg,tryckyta,logo,material,kapacitet,vikt,dimensioner,certifikat,"price option 50","price option 100","price option 250","price option 500","price option 1000","price option 2500","price option 5000",print-position-2,order-from,tariff-stat-no,color,print-surface,weight,dimensions,certificate,ovrigt,bestall-fran,tryck-storlek,storlek,accessories,version,tariff-stat-nn,input,output,solar-laddning,packaging,capacity,print-position-3,own-design,farg,sizes
0,"DAB Hand Crank Radio",17115,,"En DAB/FM nödradio som är avsedd för oväntade situationer. Radion har en robust design med en fällbar antenn men i bra storlek för att enkelt få plats i ryggsäcken. Nödradion kan ta emot FM och DAB-Radio, men även kopplas ihop med bluetooth. Har en inbyggd LED lampa (ficklampa), inbyggd läslampa, inbyggd powerbank på 5000mAh, överfallslarm samt väckarklocka alarm du ställer in manuellt. När det gäller radions batterikraft har du fyra val: Ladda via att veva, via solceller, med AAA batterier eller via USB-uttag. Vid strömavbrott är det enklast att använda veven eller de extra batterierna ifall du snabbt vill få upp batteristyrkan. Radion har ett USB uttag, och ett Type C uttag som kan användas för laddning av din mobil eller andra elektroniska produkter. Om en nödsituation skulle ske kan du använda dig utav det inbyggda överfallslarmet. Ett starkt och högt ljud som tjuter samtidigt som ficklampan blinkar starkt. Du kan även ställa in väckarklocka i radion, eller larm för andra viktiga saker som du behöver påminnas om. Denna nödradio är perfekt att ha med sig och särskilt där inte FM erbjuds utan där endast DAB kan användas. En komplett nödradio som är förbered för oväntade situationer.

( AAA batterier ingår inte)",17115,"Nyheter,Ljud","https://www.usb.nu/wp-content/uploads/2024/03/17115_DAB-Hand-Crank-Radio_4-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/03/17115_DAB-Hand-Crank-Radio_7-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/03/17115_DAB-Hand-Crank-Radio_8-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/03/17115_DAB-Hand-Crank-Radio_5-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/03/17115_DAB-Hand-Crank-Radio_10-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/03/17115_DAB-Hand-Crank-Radio_9-scaled.jpg",https://www.usb.nu/wp-content/uploads/2024/03/17115_DAB-Hand-Crank-Radio_7-scaled.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2024/04/17115_DAB-Hand-Crank-Radio_Pics.zip"">17115_DAB Hand Crank Radio_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2024/03/17115_DAB-Hand-crank-Radio_ARTW.pdf"" target=""_blank"" rel=""noopener"">17115_DAB Hand crank Radio_ARTW</a>",,"715-sv,191-sv,192-sv",50st,8527910000,Svart,"37,5x7mm","Silk max 3 färger",ABS,"5000mAh powerbank",375g,155x42x94mm,"Rohs,Emc",492,469,452,437,422,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,"Travel Luggage Scale",6340-00.002,,"En perfekt produkt att ha med när du är ute på resande fot. En resevåg som är enkel att använda för väskor upp till 50 kilo. Vågen är utrustad med dynamofunktion vilket gör att du aldrig behöver tänka på att ladda den, eller byta batterierna. Den laddas enkelt upp genom att dra handtaget upp och ner. Digital display där du enkelt kan se vikten på väskan som du väger.",6340-00.002,Övrigt,"https://www.usb.nu/wp-content/uploads/2024/02/6340-00.002_Front-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/6340-00.002_1-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/6340-00.002_2-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/6340-00.002_Front_1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/6340-00.002_TravelLaguageScale-scaled.jpg",https://www.usb.nu/wp-content/uploads/2024/02/6340-00.002_1-scaled.jpg,,,715-sv,50pcs,"84231010 000",Vit,50x30mm,Screen,"Metall, ABS",-,93g,103x60x31mm,"Rohs,Emc",130,122,112,108,104,100,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,MultibottleFlexThermo,3376-00.001,,"Både Termosmugg och dricksflaska kombinerat 2in1. Flaskan är delbar så du kan antingen använda den som en dricksflaska eller som en termos. Vid användning som termos kan du ha den övre delen som en kopp att dricka ur. Flaskan är läckagesäker, tillverkad med dubbelvägg och vaccumisolerad för att hålla värmen eller kylan kvar. Flaskan är delvis återvunnen utav rostfritt stål. Enkel att skölja av mellan användningarna, handdisk rekommenderas för denna dricksflaska.

Produkten är tillverkad av 30% återvunnet rostfritt stål.",3376-00.001,Övrigt,"https://www.usb.nu/wp-content/uploads/2024/02/3376-00.001-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/3376-00.001_1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/3376-00.001_Front-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/3376-00.001_Front_1-scaled.jpg",https://www.usb.nu/wp-content/uploads/2024/02/3376-00.001-scaled.jpg,,,"725-sv,dp-uv9,tampo9",50st,"96170000 000",Svart,48x40mm,Gravyr,"30% återvunnet rostfritt stål, Silikon",-,477g,73x73x260mm,"Rohs,Emc",210,196,182,177,170,165,159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,"Thermos mug OfficeCupAromaEVO",3354-00.001,,"Termosmuggen som är perfekt för att ha på kontoret, utsidan är i stål och insidan är gjord av plast. Termosmuggen har dubbelvägg för att hålla värmen kvar i muggen. Muggens lock är tillverkad utav plast och utformat på ett smart sätt för att undvika spill. Termosmuggen rymmer 400ml dryck.",3354-00.001,Övrigt,"https://www.usb.nu/wp-content/uploads/2024/02/3354-00.001-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/3354-00.001_Front-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/3354-00.001_DeckelFront_1-scaled.jpg",https://www.usb.nu/wp-content/uploads/2024/02/3354-00.001-scaled.jpg,,,"715-sv,dp-uv9,l7xl-2",50st,"39241000 900",Svart,30x40mm,Screen,"Metall,ABS",-,161g,88x88x145mm,"Rohs,Emc",87,80,74,69,65,62,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,"GenerationRefill ProAntibak XXL",345-AB.001,,"Dricksflaska i rostfritt stål tillverkad med dubbelvägg för att hålla kalla eller varma drycker i rätt temperatur. Vaccumisolerad vilket gör att den inte släpper in vare sig värme eller kyla i flaskan. Lockets insida är tillverkad med kopparisoleringsskikt som gör att drycken i flaskan inte läcker ut. Utsidan har en antibakteriell beläggning med silverjoner som eliminerar bakterier på ytan på ett tillförlitligt sätt under användning. Dricksflaskan kan även smidigt diskas i diskmaskinen och är dessutom läckagesäker. Det rostfria stålet kommer från återvunnet stål. Dricksflaskan rymmer 1000ml.",345-AB.001,Övrigt,"https://www.usb.nu/wp-content/uploads/2024/02/345-AB.001-2-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/345-AB.001-1-scaled.jpg",https://www.usb.nu/wp-content/uploads/2024/02/345-AB.001-2-1-scaled.jpg,,,"725-sv,dp-uv9,tampo9",50st,"96170000 000",Svart/Silver,55x50mm,Gravyr,Metall,-,486g,340x86x86mm,"Rohs,Emc",145,134,123,119,115,111,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,"Table Light Ambient DeLuxe",6327-00.001,,"Elegant bordslampa utmärkt till skrivbordet i hemmet eller som extraljus på kontoret. Lampans batteri är på 1800mAh och laddas enkelt upp via medföljande laddningskabel. Laddningstiden är på ca 3 timmar och du kan då ha lampan tänd i hela 12timmar utan att behöva ladda. Förutom den eleganta designen så är lampan tillverkad av FSC godkänd akaciaträ, återvunnen ABS (plast) och återvunnet aluminium.

Ljuset i lampan är dimbar och du kan enkelt ändra från kallt till varmvitt ljus. Du ändrar ljuset genom att hålla inne uppe på lampskärmen.",6327-00.001,"Övrigt,Nyheter","https://www.usb.nu/wp-content/uploads/2024/02/6327-00.001-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/6327-00.001_Front-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/6327-00.001_1-scaled.jpg",https://www.usb.nu/wp-content/uploads/2024/02/6327-00.001-scaled.jpg,,,engraving-or-tampo11,50st,"94054099 900",Svart/Trä,25x20mm,Tampo/Gravyr,"ABS, Metall, Trä","1800mAh, 20lumen",267g,"105x105x290mm skärm 118mm","Rohs,Emc",209,187,176,170,162,157,151,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,"Table Light Ambient Compact",6329-00.002,,"Praktisk och stilren bordslampa, justerbarhöjd från 115mm upp till 295mm. Perfekt för skrivbordet, sängbordet eller varför inte som extraljus på matbordet. Lampans batteri är på 800mAh och är uppladdningsbar. En fulladdning tar ca 2,5timme och du kan då ha lampan tänd i ca 3,5timme.

Ljuset i lampan är varmvitt och det går även att dimma ljuset genom att hålla inne knappen på lampans fot.",6329-00.002,"Övrigt,Nyheter","https://www.usb.nu/wp-content/uploads/2024/02/6329-00.002-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/6329-00.002_1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/6329-00.002_2-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/6329-00.002_Front-scaled.jpg",https://www.usb.nu/wp-content/uploads/2024/02/6329-00.002-scaled.jpg,,,715-sv,50st,"94054099 900",Svart/Vit,50Ø,Screen,"Metall, ABS",800mAh,163g,105x105x115-295mm,"Rohs,Emc",122,108,95,89,85,82,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,"GenerationRefill Recycled",3383-00.023,,"Lyxigare dricksflaska som håller din dryck kalla i upp till 10 timmar och din varma dryck varm i upp till 8 timmar. Dricksflaskan rymmer 600ml av din favoritdryck vilket är perfekt när du ska ut på äventyr. Flaskan är läckagesäker och du riskerar inte att någon dryck går till spillo, utsidan är pulverlackerad och enkel att skölja av. Tillverkad utav FSC godkänd akaciaträ och utsidan är tillverkad utav återvunnet rostfritt stål. Dricksflaskan är inte bara bra på att hålla värmen eller kylan på din dryck utan är även miljövänlig.

Produkten är tillverkad av 30% återvunnet rostfritt stål.",3383-00.023,Övrigt,"https://www.usb.nu/wp-content/uploads/2024/02/3383-00.023-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/3383-00.023_1-scaled.jpg",https://www.usb.nu/wp-content/uploads/2024/02/3383-00.023-scaled.jpg,,,"725-sv,dp-uv9,tampo9",50st,"96170000 000",Vit/Trä,30x40mm,Screen,"30% återvunnet rostfritt stål,Trä",-,332g,75x75x310mm,"Rohs,Emc",132,121,115,111,107,101,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,"CremaExtensaCeramica +",3374-00.001,,"Lyxig termosmugg insidan tillverkad med keramisk beläggning för maximalt dricksnöje. Termosmuggen har dubbelvägg och är därav vaccumisolerad med kopparisoleringsskikt vilket gör att den varma drycken håller värmen upp till 6timmar. Och kylda dricker håller sig kalla i upp till 12timmar. Termosmuggens lock är även säker mot läckage. Utsidan är pulverlackerad vilket gör att termosmuggen är enkel att hålla ren genom att endast skölja av med vatten.

The product is 60% Recycled Stainless steel.",3374-00.001,Övrigt,"https://www.usb.nu/wp-content/uploads/2024/02/3374-00.001_Front-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/3374-00.001_1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/3374-00.001-scaled.jpg",https://www.usb.nu/wp-content/uploads/2024/02/3374-00.001-scaled.jpg,,,"725-sv,dp-uv9,tampo9",50st,"96170000 000",Svart,50x20mm,Gravyr,"60% återvunnet rostfritt stål, ABS",-,263g,80x80x167mm,"Rohs,Emc",122,110,101,98,93,90,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,"Water Bottle GenerationRefillProAntibak L",340-AB.008,,"Dricksflaska i rostfritt stål tillverkad med dubbelvägg för att hålla kalla eller varma drycker i rätt temperatur. Vaccumisolerad vilket gör att den inte släpper in vare sig värme eller kyla i flaskan. Lockets insida är tillverkad med kopparisoleringsskikt som gör att drycken i flaskan inte läcker ut. Utsidan har en antibakteriell beläggning med silverjoner som eliminerar bakterier på ytan på ett tillförlitligt sätt under användning. Dricksflaskan kan även smidigt diskas i diskmaskinen och är dessutom läckagesäker. Det rostfria stålet kommer från återvunnet stål. Dricksflaskan rymmer 500ml.

Produkten är tillverkad av 35% återvunnet rostfritt stål.",340-AB.008,Övrigt,https://www.usb.nu/wp-content/uploads/2024/02/340-AB.008.jpg,https://www.usb.nu/wp-content/uploads/2024/02/340-AB.008.jpg,,,"715-sv,dp-uv9,l7xl-2",50st,"96170000 000",Grå/Silver,40x40mm,Gravyr,"35% återvunnet rostfritt stål",-,308g,69x69x258mm,"Rohs,Emc",117,107,101,97,93,89,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
