Id,Name,SKU,content,"Short Description",sku,category,"Gallery Image","Product Image",Download,Image,print-position-1,print-position-2,packaging,kop-fran,tariff-stat-nr,standardfarg,tryckyta,logo,material,kapacitet,vikt,dimensioner,version,certifikat,"original-64 GB-50","original-64 GB-100","original-64 GB-250","original-64 GB-500","original-64 GB-1000","original-64 GB-2500","original-64 GB-5000","original-128 GB-50","original-128 GB-100","original-128 GB-250","original-128 GB-500","original-128 GB-1000","original-128 GB-2500","original-128 GB-5000","original-256 GB-50","original-256 GB-100","original-256 GB-250","original-256 GB-500","original-256 GB-1000","original-256 GB-2500","original-256 GB-5000","original-512 GB-50","original-512 GB-100","original-512 GB-250","original-512 GB-500","original-512 GB-1000","original-512 GB-2500","original-512 GB-5000",original-1TB-50,original-1TB-100,original-1TB-250,original-1TB-500,original-1TB-1000,original-1TB-2500,original-1TB-5000,"original-4 GB-50","original-4 GB-100","original-4 GB-250","original-4 GB-500","original-4 GB-1000","original-4 GB-2500","original-4 GB-5000","original-8 GB-50","original-8 GB-100","original-8 GB-250","original-8 GB-500","original-8 GB-1000","original-8 GB-2500","original-8 GB-5000","original-16 GB-50","original-16 GB-100","original-16 GB-250","original-16 GB-500","original-16 GB-1000","original-16 GB-2500","original-16 GB-5000","original-32 GB-50","original-32 GB-100","original-32 GB-250","original-32 GB-500","original-32 GB-1000","original-32 GB-2500","original-32 GB-5000",accessories,"oem-tlc-1 GB-50","oem-tlc-1 GB-100","oem-tlc-1 GB-250","oem-tlc-1 GB-500","oem-tlc-1 GB-1000","oem-tlc-1 GB-2500","oem-tlc-1 GB-5000","oem-tlc-2 GB-50","oem-tlc-2 GB-100","oem-tlc-2 GB-250","oem-tlc-2 GB-500","oem-tlc-2 GB-1000","oem-tlc-2 GB-2500","oem-tlc-2 GB-5000","oem-tlc-4 GB-50","oem-tlc-4 GB-100","oem-tlc-4 GB-250","oem-tlc-4 GB-500","oem-tlc-4 GB-1000","oem-tlc-4 GB-2500","oem-tlc-4 GB-5000","oem-tlc-8 GB-50","oem-tlc-8 GB-100","oem-tlc-8 GB-250","oem-tlc-8 GB-500","oem-tlc-8 GB-1000","oem-tlc-8 GB-2500","oem-tlc-8 GB-5000","oem-tlc-16 GB-50","oem-tlc-16 GB-100","oem-tlc-16 GB-250","oem-tlc-16 GB-500","oem-tlc-16 GB-1000","oem-tlc-16 GB-2500","oem-tlc-16 GB-5000","oem-tlc-32 GB-50","oem-tlc-32 GB-100","oem-tlc-32 GB-250","oem-tlc-32 GB-500","oem-tlc-32 GB-1000","oem-tlc-32 GB-2500","oem-tlc-32 GB-5000","oem-tlc-64 GB-50","oem-tlc-64 GB-100","oem-tlc-64 GB-250","oem-tlc-64 GB-500","oem-tlc-64 GB-1000","oem-tlc-64 GB-2500","oem-tlc-64 GB-5000","oem_mlc-1 GB-50","oem_mlc-1 GB-100","oem_mlc-1 GB-250","oem_mlc-1 GB-500","oem_mlc-1 GB-1000","oem_mlc-1 GB-2500","oem_mlc-1 GB-5000","oem_mlc-2 GB-50","oem_mlc-2 GB-100","oem_mlc-2 GB-250","oem_mlc-2 GB-500","oem_mlc-2 GB-1000","oem_mlc-2 GB-2500","oem_mlc-2 GB-5000","oem_mlc-4 GB-50","oem_mlc-4 GB-100","oem_mlc-4 GB-250","oem_mlc-4 GB-500","oem_mlc-4 GB-1000","oem_mlc-4 GB-2500","oem_mlc-4 GB-5000","oem_mlc-8 GB-50","oem_mlc-8 GB-100","oem_mlc-8 GB-250","oem_mlc-8 GB-500","oem_mlc-8 GB-1000","oem_mlc-8 GB-2500","oem_mlc-8 GB-5000","oem_mlc-16 GB-50","oem_mlc-16 GB-100","oem_mlc-16 GB-250","oem_mlc-16 GB-500","oem_mlc-16 GB-1000","oem_mlc-16 GB-2500","oem_mlc-16 GB-5000","oem_mlc-32 GB-50","oem_mlc-32 GB-100","oem_mlc-32 GB-250","oem_mlc-32 GB-500","oem_mlc-32 GB-1000","oem_mlc-32 GB-2500","oem_mlc-32 GB-5000","oem_mlc-64 GB-50","oem_mlc-64 GB-100","oem_mlc-64 GB-250","oem_mlc-64 GB-500","oem_mlc-64 GB-1000","oem_mlc-64 GB-2500","oem_mlc-64 GB-5000","original-1 GB-50","original-1 GB-100","original-1 GB-250","original-1 GB-500","original-1 GB-1000","original-1 GB-2500","original-1 GB-5000","original-2 GB-50","original-2 GB-100","original-2 GB-250","original-2 GB-500","original-2 GB-1000","original-2 GB-2500","original-2 GB-5000"
0,"4i1 USB OTG",13661,,"Ett USB där man på ett superenkelt sätt kan flytta eller spara bilder, dokument eller filer mellan telefoner eller mellan en dator och en telefon. Inga sladdar behövs. Plugga in USB rakt in i telefonen eller datorn och börja flytta/spara dina foton eller filer.

Fungerar perfekt för iPhone. Ladda ner appen i app store och du är igång på ett ögonblick. För Android-telefoner behövs ingen app.

Ett USB minne som det skall vara.",13661,"Nyheter,USB-minnen","https://www.usb.nu/wp-content/uploads/2019/08/4in1-USB_13661_4-1.jpg,https://www.usb.nu/wp-content/uploads/2019/08/4in1-USB_13661_3-1.jpg,https://www.usb.nu/wp-content/uploads/2019/08/4in1-USB_13661_2-1.jpg",https://www.usb.nu/wp-content/uploads/2019/08/4in1-USB_13661_1_20002000.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/08/13661-4in1-USB-OTG.zip"" target=""_blank"" rel=""noopener"">13661 4in1 USB OTG Bilder</a>

&nbsp;

&nbsp;

<a href=""https://www.usb.nu/wp-content/uploads/2019/08/4in1-USB-OTG_13661_SW_EN_manual.pdf"">4in1 USB OTG_13661_SW_EN_manual</a>

&nbsp;",,725-sv,261-2b-sv,735-sv,"100 st",8523511000,"Rostfritt stål",22x10mm,"Fullfärgstryck, lasergravyr",Metall,"64GB - 256GB",48g,64x15x10mm,"Standard USB",RohS,184,174,168,161,155,150,144,285,275,265,247,239,233,230,515,505,469,453,430,423,408,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,"Firebolt SSD Encrypted",888,,"Firebolt är en säker, supersnabb och bärbar SSD som passar enkelt i fickan tack vare sin smidiga storlek. Ingen installation behövs och med högsta  säkerhet har du en produkt att känna dig trygg med. Tack vare den snabba SSD tekniken är det möjligt för användare att säkerhetskopiera stora filer på bara några minuter. Den passar alla datorer och enheter som har en USB-port. Firebolt är byggd av stark aluminium som är gjord för att hålla. Firebolt kommer i kapacitet från 30 GB - 512 GB, (1 TB och 2 TB-enheter kommer snart).

<strong>AES256 XTS</strong>
100% hårdvarukryptering XTS.

&nbsp;",888,"Nyheter,SafeXs","https://www.usb.nu/wp-content/uploads/2019/07/DSC_0146.jpg,https://www.usb.nu/wp-content/uploads/2019/07/DSC_0149.jpg,https://www.usb.nu/wp-content/uploads/2019/07/DSC_0149_02.jpg,https://www.usb.nu/wp-content/uploads/2019/07/DSC_0150.jpg,https://www.usb.nu/wp-content/uploads/2019/07/DSC_0150_02.jpg",https://www.usb.nu/wp-content/uploads/2019/07/DSC_0145.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/07/SafeXs-Firebolt-SSD-HR-Pictures.zip"" target=""_blank"" rel=""noopener"">SafeXs Firebolt SSD HR Pictures Bilder</a>

&nbsp;

<a href=""https://www.usb.nu/wp-content/uploads/2019/07/SafeXs-Firebolt-NEW.pdf"" target=""_blank"" rel=""noopener"">SafeXs Firebolt NEW PDF</a>

&nbsp;

<a href=""https://www.usb.nu/wp-content/uploads/2019/07/SafeXs-Firebolt-SSD.pdf"" target=""_blank"" rel=""noopener"">SafeXs Firebolt SSD PDF</a>",,201-1a-sv,-,735-sv,"50 st",8523511000,Svart,"Co branding",Lasergravyr,Aluminium,60GB-1TB,76g,105x45x10mm,SSD,Rohs,805,785,775,765,745,725,719,835,815,805,795,785,765,755,945,925,915,905,895,885,873,1185,1165,1145,1125,1105,1095,1085,1685,1665,1645,1625,1605,1595,1585,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,"Safexs Protector XT",777,,"<strong>Vårt flaggskepp Protector XT</strong> är ett hårdvarukrypterat säkerhetsminne som skyddar känslig data om du skulle förlora ditt USB-minne.

<strong>Topptestad av tidningen Tech-Reviews med följande motivering</strong>
<em>""Sammantaget, om du letar efter ett USB-minne med riktigt unika egenskaper inom krypterad hårdvara, är Safexs Protector XT precis vad du letar efter!""</em>

Protector XT har unika egenskaper som inget annat minne på marknaden har idag! Protector XT är tillverkad av Zink med en legering som ger en exklusiv känsla så väl som en enormt hållbar och tålig produkt.
Med Password rescue kan du rädda din data fast du glömt ditt lösenord. En helt unik lösning för ett krypterat USB minne.

<strong>Protector XT</strong> erbjuder även egenskaper som inbyggd krypterad säkerhetskopia, säker fildelning av krypterad information, datorskydd och automatisk formatering av data. Med inbyggt <strong>ESET NOD32® antivirus</strong> är ditt minne skyddat från Malware och virusangrepp.",777,SafeXs,"https://www.usb.nu/wp-content/uploads/2019/07/Safexs-Protector-XT-Laptop.jpg,https://www.usb.nu/wp-content/uploads/2019/07/Safexs-Protector-XT-Side-view-2.jpg,https://www.usb.nu/wp-content/uploads/2019/07/Safexs-Protector-XT-Side-View.jpg,https://www.usb.nu/wp-content/uploads/2019/07/Safexs-Protector-XT-Standing-without-cap.jpg,https://www.usb.nu/wp-content/uploads/2019/07/Safexs-Protector-XT-Standing.jpg",https://www.usb.nu/wp-content/uploads/2019/07/Safexs-Protector-XT-MAIN-3.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/07/SafeXs-Protector-XT-3.0-Pictures.zip"">SafeXs Protector XT 3.0 Pictures</a>

&nbsp;",,201-1a-sv,261-2b-sv,-,"100 st",8523511000,Silver,"Co branding","Screen,Lasergravyr",Zink/alloy,4GB-64GB,28g,55x18x7mm,"USB 3.0",Rohs,649,645,641,637,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,198,194,191,188,,,,222,219,215,212,,,,283,279,274,271,,,,389,385,381,377,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,"Key Leather USB",20079,"Vackert och slittåligt PU läder. Avtagbar hatt vilket ger en smidighet när minnet kopplas till datorn. Lämplig både med tryckt eller präglad logga.","Vackert och slittåligt USB i PU läder.  Exklusivt utseende med en snygg präglad logo",20079,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/Key-Leather-1.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Key-Leather-2.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Key-Leather-4.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Key-Leather-12.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Key-Leather-13.jpg",https://www.usb.nu/wp-content/uploads/2019/06/Key-Leather-MAIN-1.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Key-Leather-Pictures.zip"">Key Leather Pictures</a>

&nbsp;

&nbsp;

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Key-Leather-Simulation-20171004.pdf"">Key Leather Simulation 20171004</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv",-,"100 st",8523511000,"Brun,svart",18x9mm,"Screen,Prägling","PU Läder/metall",4GB-64GB,20g,84x27x11mm,"USB 2.0",Rohs,0.0,112,111,108,105,103,101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,46,45,44,43,42,41,0.0,50,49,48,47,46,45,0.0,52,51,50,49,48,47,0.0,83,82,80,78,76,75,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,35,34,33,32,31,30,0.0,36,35,34,33,32,31,0.0,37,36,35,34,33,32,0.0,39,38,37,36,35,34,0.0,40,39,38,37,36,35,0.0,49,48,47,46,45,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,39,38,37,36,35,0.0,41,40,39,38,37,36,0.0,41,40,39,38,37,36,0.0,44,43,42,41,40,39,0.0,45,44,43,42,41,40,0.0,54,53,52,51,50,49,0.0,75,74,72,70,69,68,0.0,44,43,42,41,40,39,0.0,45,44,43,42,41,40
4,"Twist Colour USB",11291,"Twist, världens mest sålda USB-modell! Med en enkel TWIST gör du minnet klart att sätta i USB-porten. Mot tillägg kan metallbygel och gummidel fås i valfri PMS-färg. Denna modell ger dig alla möjligheter till en unik design.","Twist, världens mest sålda USB-modell nu med färgad bygel som standard! Med en enkel TWIST gör du minnet klart att sätta i USB-porten. Mot tillägg kan metallbygel och gummidel fås i valfri PMS-färg. Denna modell ger dig alla möjligheter till en unik design.",11291,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/Twist-Colour-8.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Twist-Colour-9.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Twist-Colour-10.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Twist-Colour-11.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Twist-Colour-12.jpg",https://www.usb.nu/wp-content/uploads/2019/06/Twist-Colour-MAIN10001000-1.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Twist-Colour-Pictures.zip"">Twist Colour Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Twist-Colour-Simulation-20150413.pdf"">Twist Colour Simulation 20150413</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","260-1b-sv,195-sv,196-sv,197-sv,199-sv","457-sv,454-sv,453-sv,452-sv,456-sv,901-sv","100 st",8523511000,"Klips: Svart,röd,blå.grön. Kropp:Vit,svart,blå,röd,grön",25x14mm,"Screen, Fullfärgstryck, Lasergravyr","Polycarbonat, Aluminium",4GB-64GB,15g,57x19x10mm,"USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,43,42,41,40,39,38,0.0,48,47,46,45,44,43,0.0,50,49,48,47,46,45,0.0,81,80,78,76,75,73,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,0.0,35,34,33,32,31,30,0.0,37,36,35,34,33,32,0.0,38,37,36,35,34,33,0.0,47,46,45,44,43,42,-,-,-,-,-,-,-,0.0,37,36,35,34,33,32,0.0,38,37,36,35,34,33,0.0,39,38,37,36,35,34,0.0,42,41,40,39,38,37,0.0,43,42,41,40,39,38,0.0,52,51,50,49,48,47,-,-,-,-,-,-,-,0.0,41,40,39,38,37,36,0.0,42,41,40,39,38,37
5,"Slim card USB",10198,"Ännu ett USB minne i format som ett kreditkort. Har en mycket stor tryckyta och passar perfekt i plånboken eller i bröstfickan. Med ett enkelt klick far du fram USB kontakten. Levereras i snygg konstläderpouch. Priset är inkl. 1-färgstryck. Minsta antal med tryck 100st.","Ännu ett USB minne i format som ett kreditkort. Har en mycket stor tryckyta och passar perfekt i plånboken eller i bröstfickan. Med ett enkelt klick far du fram USB kontakten. Levereras i snygg konstläderpouch. Priset är inkl. 1-färgstryck. Minsta antal med tryck 100st.",10198,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8df8b358.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8e02cbbd.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8e0868bc.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8e1245a7.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8e1ac4d8.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8ded3ddf.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Slim-Card-Pictures.zip"">Slim Card Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Slim-Card-SIM-20150417_art-no-10198.pdf"">Slim Card SIM 20150417_art no 10198</a>",,"715-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv",410-sv-2,"100 st",8523511000,"Vit, svart",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,37,36,35,34,33,32,"650-sv,651-sv,551-sv",0.0,27,26,25,24,23,22,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,34,33,32,31,30,29,-,-,-,-,-,-,-,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,35,34,33,32,31,30,-,-,-,-,-,-,-,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25
6,"Key USB",10120,"Nyckeln till framgång! Ge dina kunder ett USB minne i form av en helgjuten nyckel i borstad matt aluminium. Usb kontakten belagd med skyddande yta. Kan mot offert även färgas in.","Nyckeln till framgång! Ge dina kunder ett USB minne i form av en helgjuten nyckel i borstad matt aluminium. Usb kontakten belagd med skyddande yta. Kan mot offert även färgas in.",10120,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b73caf48b.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b73d47532.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b73dd51e1.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b73e7a753.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b73c124e9.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Key-Pictures.zip"">Key Pictures</a>

&nbsp;

&nbsp;

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Key-Simulation-20150916.pdf"">Key Simulation 20150916</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,260-1b-sv,195-sv,196-sv,197-sv,199-sv","556-sv,453-sv,452-sv,456-sv,901-sv","100 st",8523511000,Silver,84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,29,28,27,26,25,,31,30,29,28,27,26,,32,31,30,29,28,27,,35,34,33,32,31,30,,"552-sv,karbinhake,650-sv,651-sv,551-sv",26,25,24,23,22,21,,27,26,25,24,23,22,,28,27,26,25,24,23,,29,28,27,26,25,24,,30,29,28,27,26,25,,32,31,30,29,28,27,,-,-,-,-,-,-,-,27,26,25,24,23,22,,28,27,26,25,24,23,,29,28,27,26,25,24,,30,29,28,27,26,25,,31,30,29,28,27,26,,33,32,31,30,29,28,,-,-,-,-,-,-,-,28,27,26,25,24,23,,29,28,27,26,25,24,
7,"Safexs Protector  Basic",SXSPB,"Protector Basic 3.0 är ett hårdvarukrypterat USB-minne, gjort för att möta dina krav och behov av att skydda din känsliga data. Safexs Protector Basic är mycket prisvärd och kommer med flera inbyggda säkerhets funktioner. I Safexs Protector Serie ingår även Safexs Protector XT och Safexs Protector 3.0. https://youtu.be/8ELzcBY6-oA","Protector Basic 3.0 är ett hårdvarukrypterat USB-minne, gjort för att möta dina krav och behov av att skydda din känsliga data. Safexs Protector Basic är mycket prisvärd och kommer med flera inbyggda säkerhets funktioner. I Safexs Protector Serie ingår även Safexs Protector XT och Safexs Protector 3.0. https://youtu.be/8ELzcBY6-oA",SXSPB,"SafeXs,USB-minnen","https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8af8058b.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8b0097f1.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8b09f534.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8b144b61.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8b1d1fb5.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8aed6f3c.jpg,,,198-sv,"194-sv,261-2b-sv,199-sv",-,"100 st",8523511000,Svart,84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,628,624,621,618,615,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,176,173,170,167,165,,,199,197,194,191,188,,,270,268,265,262,259,,,365,362,359,356,353,,,"552-sv,650-sv,651-sv,551-sv",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,"ECO smooth USB",11227,"Sober modell i trä med magneter som håller hatten på plats. Mjuka fasade kanter och polerad stor tryckyta.","Sober modell i trä med magneter som håller hatten på plats. Mjuka fasade kanter och polerad stor tryckyta.",11227,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b80a4a503.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b80ae067b.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b80b77556.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b80c0c512.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b80ca48d2.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b809a0da8.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/ECO-Smooth-Pictures.zip"">ECO Smooth Pictures</a>

&nbsp;

&nbsp;

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/ECO-Smooth-Simulation_Art-no-11227.pdf"">ECO Smooth Simulation_Art no 11227</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv",750-sv,"100 st",8523511000,"Ljus, röd, mörkbrun",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,43,42,41,40,39,38,0.0,47,46,45,44,43,42,0.0,49,48,47,46,45,44,0.0,80,79,78,77,74,72,-,0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,0.0,36,35,34,33,32,31,0.0,37,36,35,34,33,32,0.0,46,45,44,43,42,41,-,-,-,-,-,-,-,0.0,37,36,35,34,33,32,0.0,38,37,36,35,34,33,0.0,39,38,37,36,35,34,0.0,41,40,39,38,37,36,0.0,42,41,40,39,38,37,0.0,52,51,50,49,48,47,-,-,-,-,-,-,-,0.0,41,40,39,38,37,36,0.0,42,41,40,39,38,37
9,"Hook USB",20042,"Fräck karbinhake med inbyggt minne! Finns i ett flertal fräscha färger.","Fräck karbinhake med inbyggt minne! Finns i ett flertal fräscha färger.",20042,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b86167596.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8620621f.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b862930d1.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8632e857.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b863c6144.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b860c70bc.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Hook-Pictures.zip"">Hook Pictures</a>

&nbsp;

&nbsp;

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Hook-Simulation-20130723.pdf"">Hook Simulation 20130723</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv","463-sv,901-sv","100 st",8523511000,"Vit, svart, blå, röd, grön",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,0.0,112,111,108,105,103,101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,46,45,44,43,42,41,0.0,50,49,48,47,46,45,0.0,52,51,50,49,48,47,0.0,83,82,80,78,76,75,-,0.0,35,34,33,32,31,30,0.0,36,35,34,33,32,31,0.0,37,36,35,34,33,32,0.0,39,38,37,36,35,34,0.0,40,39,38,37,36,35,0.0,49,48,47,46,45,44,-,-,-,-,-,-,-,0.0,40,39,38,37,36,35,0.0,41,40,39,38,37,36,0.0,41,40,39,38,37,36,0.0,44,43,42,41,40,39,0.0,45,44,43,42,41,40,0.0,54,53,52,51,50,49,0.0,75,74,72,70,69,68,0.0,44,43,42,41,40,39,0.0,45,44,43,42,41,40
